n_drones,trial,mothership_survived,n_drones_lost,time_to_resolution,min_miss_distance
6,5,True,0,90.04999999999703,43.8802520171043
6,6,True,0,90.04999999999703,37.70964554962305
6,7,False,0,18.800000000000132,3.0162722461453337
6,8,True,0,90.04999999999703,22.794239562149915
6,9,False,0,19.000000000000135,6.858355880412958
6,10,True,0,90.04999999999703,40.050305600213726
6,11,False,0,18.850000000000133,14.764025015078175
6,12,True,0,90.04999999999703,33.15371567391641
6,13,True,0,90.04999999999703,49.64793294535549
6,14,True,0,90.04999999999703,29.9356211234359
6,15,True,0,90.04999999999703,38.38308048082801
6,16,True,0,90.04999999999703,32.19244381103873
6,17,True,0,90.04999999999703,18.768908856150983
6,18,True,0,90.04999999999703,16.290234997535993
6,19,False,0,18.75000000000013,0.6320658197549155
6,20,True,0,90.04999999999703,31.003797083074502
6,21,True,0,90.04999999999703,77.77444204698303
6,22,True,0,90.04999999999703,75.43295628219553
6,23,True,0,90.04999999999703,27.512596532686974
6,24,True,0,90.04999999999703,53.92712821545686
6,25,True,0,90.04999999999703,52.537432613440764
6,26,True,0,90.04999999999703,44.545385185728605
6,27,True,0,90.04999999999703,35.99439427344734
6,28,True,0,90.04999999999703,34.02279210399753
6,29,True,0,90.04999999999703,40.767364121439655
6,30,True,0,90.04999999999703,200.87028621944054
6,31,True,0,90.04999999999703,18.73123483937568
6,32,True,0,90.04999999999703,16.7443620091927
6,33,True,0,90.04999999999703,43.712079104175764
6,34,True,0,90.04999999999703,87.92071726074325
6,35,True,0,90.04999999999703,87.4589237099308
6,36,True,0,90.04999999999703,20.416904980958428
6,37,True,0,90.04999999999703,43.25688288310019
6,38,True,0,90.04999999999703,25.340275696915892
6,39,True,0,90.04999999999703,23.438714401628673
6,40,True,0,90.04999999999703,166.03709318386552
6,41,True,0,90.04999999999703,46.9424967478378
6,42,True,0,90.04999999999703,126.60033471179118
6,43,True,0,90.04999999999703,280.9041394601779
6,44,True,0,90.04999999999703,196.7651494336378
6,45,True,0,90.04999999999703,93.79549540842255
6,46,True,0,90.04999999999703,65.01780945840495
6,47,True,0,90.04999999999703,23.009197529520996
6,48,True,0,90.04999999999703,107.0134127770785
6,49,True,0,90.04999999999703,41.95847043680044
6,50,False,0,19.050000000000136,7.4425816865486185
6,51,True,0,90.04999999999703,67.93106509833282
6,52,True,0,90.04999999999703,195.1316781772025
6,53,False,0,19.100000000000136,5.969600606085369
6,54,True,0,90.04999999999703,17.956909080599964
6,55,True,0,90.04999999999703,32.05099540725094
6,56,True,0,90.04999999999703,135.79431666626886
6,57,True,0,90.04999999999703,31.528159933051914
6,58,True,0,90.04999999999703,100.17495061179052
6,59,False,0,18.75000000000013,5.061759899470371
8,0,True,0,90.04999999999703,101.475365898539
8,1,True,0,90.04999999999703,97.6200498339562
8,2,True,0,90.04999999999703,40.7484791295344
8,3,False,0,18.850000000000133,5.331596549141256
8,4,True,0,90.04999999999703,42.75016054385269
8,5,False,0,18.850000000000133,6.223648556785825
8,6,True,0,90.04999999999703,143.73537622206786
8,7,True,0,90.04999999999703,30.279090542149806
8,8,True,0,90.04999999999703,181.63989681097985
8,9,True,0,90.04999999999703,85.92258470126447
8,10,True,0,90.04999999999703,211.12359273878002
8,11,False,0,18.900000000000134,6.412843203239376
8,12,True,0,90.04999999999703,51.85962093112791
8,13,True,0,90.04999999999703,15.926772564847306
8,14,True,0,90.04999999999703,46.20268107168479
8,15,True,0,90.04999999999703,139.2773826310613
8,16,True,0,90.04999999999703,65.4827513881215
8,17,True,0,90.04999999999703,101.31577321136771
8,18,True,0,90.04999999999703,34.26485693426206
8,19,True,0,90.04999999999703,39.68623409624473
8,20,True,0,90.04999999999703,15.255513030840174
8,21,True,0,90.04999999999703,21.031849338518462
8,22,False,0,18.75000000000013,11.04267063228119
8,23,True,0,90.04999999999703,68.16446926901956
8,24,True,0,90.04999999999703,54.37393816018537
8,25,True,0,90.04999999999703,198.54221518214354
8,26,False,0,18.900000000000134,7.627911594529193
8,27,True,0,90.04999999999703,32.745702187803516
8,28,True,0,90.04999999999703,18.90320492463884
8,29,True,0,90.04999999999703,23.30725131486037
8,30,True,0,90.04999999999703,84.86095545242159
8,31,False,0,18.900000000000134,10.79177315501058
8,32,False,0,18.75000000000013,3.7007622173895807
8,33,True,0,90.04999999999703,42.52433194977416
8,34,True,0,90.04999999999703,93.3508516478221
8,35,True,0,90.04999999999703,32.607893321499816
8,36,True,0,90.04999999999703,16.938699134770697
8,37,True,0,90.04999999999703,102.67431924189745
8,38,True,0,90.04999999999703,27.54473921709747
8,39,True,0,90.04999999999703,31.718470409244276
8,40,True,0,90.04999999999703,31.544351855745855
8,41,True,0,90.04999999999703,24.988582701623073
8,42,True,0,90.04999999999703,78.541625421207
8,43,True,0,90.04999999999703,114.82842765622009
8,44,True,0,90.04999999999703,28.387861866117525
8,45,True,0,90.04999999999703,111.8390912869126
8,46,True,0,90.04999999999703,36.35977909223848
8,47,True,0,90.04999999999703,29.687060093833676
8,48,True,0,90.04999999999703,48.36897087145685
8,49,True,0,90.04999999999703,156.2913275436766
8,50,False,0,19.150000000000137,11.469910725537558
8,51,False,0,18.800000000000132,14.812713265780696
8,52,True,0,90.04999999999703,31.13653833732641
8,53,True,0,90.04999999999703,27.613143829263027
8,54,True,0,90.04999999999703,32.84813745538318
8,55,True,0,90.04999999999703,85.32403917025465
8,56,True,0,90.04999999999703,36.27824914360589
8,57,True,0,90.04999999999703,53.46889781886085
8,58,True,0,90.04999999999703,18.560693491959753
8,59,True,0,90.04999999999703,53.00110883483345
